Nombre Original PDF;Gama Extraída;Peso Sugerido Web;PVP;Ruta de Foto Asignada por el Bot;Foto Correcta? (SI/NO);Ruta CORRECTA de Foto (si la anterior es NO)
Lenda Vet ALLERGENIC SOLUTION;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-ALLERGENIC-WEB.png;;
Lenda Vet URINARY & STRUVITE;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-URINARY-WEB.png;;
Lenda Vet URINARY & STRUVITE;Veterinaria;10 kg;75,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-URINARY-WEB.png;;
Lenda Vet GASTRO & ATOPIC;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-GASTRO-WEB.png;;
Lenda Vet GASTRO & ATOPIC;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-GASTRO-WEB.png;;
Lenda Vet SLIMMING & STERILIZED;Veterinaria;2 kg;22,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-SLIMMING-WEB.png;;
Lenda Vet SLIMMING & STERILIZED;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-SLIMMING-WEB.png;;
Lenda Vet MOBILITY & JOINTS;Veterinaria;2 kg;24,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-MOBILITY-WEB.png;;
Lenda Vet MOBILITY & JOINTS;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-MOBILITY-WEB.png;;
Lenda Vet CARDIAC;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-CARDIAC-WEB.png;;
Lenda Vet CARDIAC;Veterinaria;10 kg;74,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-CARDIAC-WEB.png;;
Lenda Vet HEPATIC;Veterinaria;2 kg;24,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-HEPATIC-WEB.png;;
Lenda Vet HEPATIC;Veterinaria;10 kg;75,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-HEPATIC-WEB.png;;
Lenda Vet LEISHMANIASIS;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-LEISHMANIASIS-WEB.png;;
Lenda Vet LEISHMANIASIS;Veterinaria;10 kg;75,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-LEISHMANIASIS-WEB.png;;
Lenda Vet PANCREATIC;Veterinaria;2 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-PANCREATIC-WEB.png;;
Lenda Vet PANCREATIC;Veterinaria;10 kg;80,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Veterinaria\LENDA-VET-DOG-PANCREATIC-WEB.png;;
